"V1","V2","V3","class"
0.180581374196416,-0.177488800370285,-0.161204058196741,"G_1"
0.337598649892057,-0.128591719640734,0.388914360206961,"G_1"
0.694830491952345,-1.12899834806578,-0.241311043376245,"G_1"
-0.279167879096094,-0.359078702292133,-0.917722667991411,"G_1"
-0.652601424870303,-0.535720004683607,0.507654808252133,"G_1"
0.399683686841719,3.0670947102332,-0.706831171881749,"G_2"
0.0718357340641843,-1.9338474263904,-1.20718307603666,"G_2"
1.49286008347694,-0.0184485470980462,-3.07180319636473,"G_2"
1.62943746351895,-0.876818928756742,-1.27719857539901,"G_2"
0.957192412116137,-0.165976047164613,1.94797172847384,"G_2"
2.60708040351872,-0.887362472375414,3.44741156141212,"G_3"
-4.63823836160675,0.676038378556337,-1.13261264326413,"G_3"
1.67320569042676,-3.54082916700615,-0.896843669920711,"G_3"
-0.275982620365896,1.75546823409081,5.24826279669329,"G_3"
-2.97272693237072,4.0379656105772,1.27790419465311,"G_3"
